aX,aY,aZ,gX,gY,gZ,target
-6698,-1356,978,23,-891,-331,4
-6227,-1798,68,42,-1329,-293,4
-6227,-1798,68,172,-1797,-213,4
-5678,-1708,-1703,172,-1797,-213,4
-5553,-1550,-3772,346,-2453,-101,4
-4937,-1342,-5041,577,-3390,-15,4
-3658,-1661,-3978,716,-4561,56,4
-1880,-2070,-2153,638,-5842,233,4
1367,-1561,23997,-699,-4765,1372,4
65,2520,28279,-699,-4765,1372,4
65,2520,28279,-699,-4765,1372,4
-1592,4802,25379,-1332,-2678,1084,4
-2858,3378,18561,-1635,-1222,531,4
-2640,-37,14130,-1279,-631,-1,4
-1972,-2864,14142,-313,-543,-258,4
-1828,-3365,16238,755,-433,-208,4
-2152,-2127,17444,1429,-128,-59,4
-2847,-643,18111,1668,347,60,4
-3158,485,18563,1574,900,76,4
-3292,549,17979,1251,1441,4,4
-3292,549,17979,1251,1441,4,4
-3399,619,17054,890,1870,-67,4
-3062,624,15376,592,2234,-117,4
-2949,586,13324,381,2543,-142,4
-3054,507,11947,203,2718,-134,4
-3269,686,11459,21,2734,-122,4
-3589,851,11143,-159,2711,-121,4
-4011,959,10759,-283,2743,-171,4
-4001,480,9956,-352,2882,-257,4
-3682,61,9019,-329,3090,-312,4
-3682,61,9019,-329,3090,-312,4
-3743,-294,7706,-243,3279,-312,4
-3728,-324,6618,-80,3365,-289,4
-3931,-538,5240,98,3373,-244,4
-4301,-775,4043,310,3331,-190,4
-4741,-888,3096,511,3207,-131,4
-5041,-620,2951,675,2995,-81,4
-5486,-362,2877,741,2747,-61,4
-5784,-459,2216,676,2478,-78,4
-6001,-330,1460,520,2147,-103,4
-6001,-330,1460,293,1728,-124,4
-5959,-319,802,293,1728,-124,4
-6074,-236,270,45,1239,-125,4
-6263,-78,-4,-161,719,-126,4
-6242,-132,-113,-291,210,-143,4
-6159,-531,-72,-324,-274,-132,4
-5931,-1198,-204,-281,-702,-61,4
-5265,-1579,-1782,-139,-1084,81,4
-5519,-1166,-4520,147,-1533,266,4
-5681,-100,-6876,436,-2268,364,4
-5681,-100,-6876,436,-2268,364,4
-4536,132,-7204,547,-3468,357,4
-2590,-150,-5374,481,-5038,343,4
-149,-1276,-2664,204,-6788,467,4
-388,-2293,3860,-185,-8431,693,4
2274,-1684,14346,-293,-9432,785,4
4325,-544,27694,-590,-8627,791,4
1561,957,32078,-1121,-6140,959,4
-535,3348,28746,-1692,-3077,935,4
-2060,2415,19410,-1930,-1084,593,4
-2060,2415,19410,-1930,-1084,593,4
-1749,564,13759,-1579,-420,245,4
-2508,-1633,12585,-789,-489,-31,4
-2266,-2805,13998,262,-620,-123,4
-2181,-1860,15276,1160,-472,-105,4
-2800,-673,15305,1557,-73,-81,4
