aX,aY,aZ,gX,gY,gZ,target
-5535,-491,7312,-214,298,-142,5
-5277,-265,6872,-49,108,-99,5
-4760,-307,7688,106,-121,-62,5
-4890,5,8712,196,-223,-16,5
-5099,98,8695,199,-237,-19,5
-4782,198,8769,196,-93,-55,5
-4461,119,8836,156,-3,-56,5
-4388,125,8896,70,29,-7,5
-4722,21,8700,-19,24,39,5
-4722,21,8700,-74,3,50,5
-4870,1,8525,-74,3,50,5
-4782,52,8679,-93,8,42,5
-4619,106,8712,-113,6,51,5
-4365,-20,9182,-151,-25,93,5
-4317,81,9458,-208,12,152,5
-4308,187,9223,-295,101,226,5
-4817,-3046,-3907,-357,161,262,5
-5967,528,7855,-36,-469,133,5
-5094,685,9379,295,-482,-108,5
-4922,685,8798,12,-582,-168,5
-4922,21,8798,12,-582,-168,5
-4549,-19,9945,-73,-605,-221,5
-4622,-271,9582,28,-343,-237,5
-4267,-427,9322,141,-194,-164,5
-4511,-367,9450,218,-102,-89,5
-4526,-551,9302,235,15,-28,5
-4559,-416,8986,229,68,31,5
-4695,-196,8693,213,32,64,5
-4622,-17,8642,183,-47,70,5
-4795,229,8718,152,-114,47,5
-4795,229,8718,152,-114,47,5
-4922,546,8867,117,-156,0,5
-4794,771,9162,43,-195,-53,5
-4744,574,9282,-56,-221,-92,5
-4679,283,9229,-132,-193,-122,5
-4624,93,9211,-173,-153,-120,5
-4459,-32,9181,-178,-115,-80,5
-4455,-160,9552,-146,-54,-30,5
-4673,-141,9626,-109,56,18,5
-4701,15,9340,-91,161,35,5
-4701,15,9340,-91,161,35,5
-4741,180,9321,-73,233,24,5
-4973,206,8813,-57,276,-7,5
-5011,75,8293,-10,238,-69,5
-4737,94,8137,32,168,-137,5
-5158,16,7887,40,52,-158,5
-5034,-180,8084,67,-117,-186,5
-4697,-250,8644,77,-243,-175,5
-4630,-131,9067,39,-308,-142,5
-4688,-100,9273,28,-235,-113,5
-4688,-100,9273,28,-235,-113,5
-4735,-40,9157,32,-116,-108,5
-4505,-88,9235,36,-1,-106,5
-4456,-279,9002,53,94,-91,5
-4478,-244,8760,69,135,-55,5
-4620,-86,8506,73,120,-31,5
-4730,107,8608,69,73,-21,5
-4871,263,8638,45,25,-48,5
-4847,242,8845,15,-7,-84,5
-4716,96,8941,-13,-3,-109,5
-4716,96,8941,-32,6,-105,5
-4607,-173,8868,-32,6,-105,5
-4454,-447,8896,-31,6,-67,5
-4425,-540,8877,7,9,-2,5
-4487,-497,8830,49,40,54,5
-4583,-370,8803,69,75,83,5
-4655,-191,8684,62,83,98,5
-4804,44,8553,48,47,95,5
-4704,139,8618,28,-1,81,5
-4855,203,8612,26,-14,53,5
-4855,203,8612,26,-14,53,5
-4907,212,8531,43,4,7,5
-4797,142,8544,75,18,-26,5
-4705,57,8705,100,14,-44,5
-4815,-26,8736,107,-2,-42,5
-4878,1,9134,87,-1,-38,5
-4907,-175,9073,48,54,-33,5
-4760,-203,8734,23,100,-25,5
-4711,-254,8630,42,109,-16,5
-4794,-61,8574,57,100,12,5
-4794,-61,8574,53,65,32,5
-4765,-62,8365,53,65,32,5
-4949,63,8346,53,15,34,5
-5002,83,8512,69,-26,26,5
-4906,74,8604,83,-43,18,5
-4947,128,8815,101,-19,17,5
-4935,155,8782,108,25,14,5
-4972,136,8672,97,43,10,5
-5028,75,8772,78,48,5,5
-4968,-186,8763,59,54,3,5
-4968,-186,8763,49,53,4,5
-4882,-111,8755,32,49,0,5
-4935,-101,8889,32,49,0,5
-4794,-165,8733,18,25,-5,5
-4784,-165,8824,28,-2,3,5
-4761,-174,8834,56,1,16,5
-4737,-124,8848,86,18,30,5
-4730,-21,8829,100,31,37,5
-4736,113,8839,93,43,37,5
-4770,144,8845,72,34,35,5
-4875,320,8723,40,-5,18,5
-4875,320,8723,40,-5,18,5
-4827,325,8717,0,-54,-6,5
-4717,240,8882,-25,-78,-23,5
-4521,-31,9011,-148,20,-10,5
-4851,151,8953,-166,53,12,5
-4957,195,8932,-149,102,-9,5
-4657,86,8752,-114,123,-22,5
-4660,37,8705,-62,137,-14,5
-4882,-71,8532,-20,140,12,5
-4887,-21,8606,-8,114,30,5
-4914,31,8695,-29,100,32,5
-4914,31,8695,-29,95,34,5
-4902,45,8585,-57,95,34,5
-4904,291,8561,-69,87,18,5
-4899,241,8383,-75,77,-15,5
-4822,174,8166,-64,62,-37,5
-5057,132,8152,-32,34,-50,5
-4978,8,8216,-7,-21,-57,5
-4831,-5,8475,-3,-69,-50,5
-4724,-132,8656,-31,-78,-23,5
-4655,-287,8664,-73,-72,7,5
-4655,-287,8664,-111,-49,64,5
-4508,-279,8815,-111,-49,64,5
-4661,-250,8660,-145,-15,119,5
-4834,-337,8505,-134,7,158,5
-4704,-110,8566,-127,7,182,5
-4900,-20,8696,-119,16,181,5
-4922,193,8775,-122,26,172,5
-4880,327,8955,-127,45,149,5
-4852,216,9017,-141,93,127,5
-4742,-150,9107,-130,164,128,5
-4742,-150,9107,-166,251,169,5
-4311,-228,9154,-166,251,169,5
-4328,-287,8958,-255,307,276,5
-4707,-390,8555,-342,310,400,5
-7180,-2908,-4228,-120,619,494,5
-6498,-842,8404,89,-335,346,5
-5229,1250,9872,330,-552,157,5
-4694,658,9379,45,-569,78,5
-5083,397,9994,-73,-494,-32,5
-4995,105,9422,29,-260,-96,5
-4701,108,8930,149,-152,-74,5
-4701,108,8930,149,-152,-74,5
-4486,260,9212,144,-149,-45,5
-4813,-320,9449,97,-114,-12,5
-4762,-324,9836,56,-42,18,5
-4762,-161,9857,-9,30,52,5
-4764,-21,9476,-66,66,89,5
-4996,10,9092,-59,95,93,5
-5016,104,9004,-28,117,89,5
