aX,aY,aZ,gX,gY,gZ,target
-2342,-4259,8932,-273,-12,-1631,3
-2324,-4734,9236,-216,-21,-1372,3
-2257,-4999,9385,-190,0,-1111,3
-2073,-5196,9564,-174,28,-865,3
-1891,-5422,9626,-128,93,-621,3
-1895,-5422,9480,-42,173,-373,3
-1988,-5484,9384,53,229,-127,3
-1777,-6131,9069,123,273,143,3
-1777,-6131,9069,123,273,143,3
-1645,-6869,8720,151,280,475,3
-1453,-7153,8293,101,192,893,3
-1371,-7539,8256,21,15,1382,3
-999,-7520,8738,-69,-160,1941,3
-790,-7308,8821,-143,-295,2562,3
-15,-7133,8900,-221,-419,3238,3
732,-7253,9172,-298,-576,4023,3
826,-7051,9227,-248,-690,4841,3
826,-7051,9072,-68,-672,5566,3
746,-6058,9072,-68,-672,5566,3
309,-4589,8717,167,-647,6067,3
183,-3108,8411,397,-666,6355,3
509,-1858,8220,677,-690,6481,3
1314,-704,8172,982,-675,6533,3
2370,-612,7984,1266,-642,6637,3
2014,34,7891,1530,-624,6834,3
1777,1611,8421,1659,-610,6988,3
656,4613,10158,1619,-577,6930,3
-1226,8114,11298,1343,-455,6577,3
-1226,8114,11298,1343,-455,6577,3
-3160,11114,11851,951,-290,5834,3
-4439,12263,11381,601,-81,4819,3
-5598,11533,10191,379,125,3723,3
-4974,10388,9014,229,201,2705,3
-3883,8727,8468,81,135,1915,3
-3268,7497,8214,-4,33,1392,3
-2947,6719,8372,23,2,1018,3
-2787,6050,8748,136,71,722,3
-2696,5521,8751,268,196,480,3
-2696,5521,8751,361,269,286,3
-2819,5123,8325,361,269,286,3
-3042,5008,8042,383,236,110,3
-2985,4722,8173,344,131,-63,3
-3023,4687,8605,285,32,-223,3
-2965,4997,9086,194,-27,-384,3
-3199,5542,9354,73,-53,-588,3
-3257,5541,9512,-75,-81,-849,3
-2918,4728,9450,-207,-96,-1332,3
-2918,4728,9450,-207,-96,-1332,3
-2791,4210,9247,-204,-103,-1517,3
-2732,3686,9183,-172,-124,-1649,3
-2755,3662,9359,-116,-155,-1740,3
-2935,3860,9665,-61,-169,-1842,3
-3214,4210,10033,-24,-133,-1995,3
-2986,4131,10082,-18,-44,-2197,3
-2950,3672,10153,-21,61,-2403,3
-2792,3312,10052,-20,156,-2572,3
-2712,2903,9938,-48,234,-2704,3
-2712,2903,9938,-48,234,-2704,3
-2586,2244,9583,-122,277,-2792,3
-2321,1647,9306,-222,270,-2817,3
-1980,1245,9213,-357,189,-2734,3
-1864,696,8927,-535,40,-2566,3
-1917,130,8969,-671,-85,-2376,3
-2316,-465,9138,-704,-115,-2185,3
-2427,-680,9022,-652,-101,-2008,3
-2846,-748,8985,-587,-123,-1880,3
-2944,-790,9201,-532,-159,-1781,3
-2944,-790,9201,-532,-159,-1781,3
-2956,-689,9720,-483,-59,-1624,3
-2953,-597,8839,-642,84,-1806,3
-2953,-597,8839,-642,84,-1806,3
-2815,-1479,8733,-600,40,-1759,3
-2742,-1864,8763,-517,-9,-1612,3
-2836,-1813,8939,-412,-53,-1423,3
-3041,-1580,9235,-309,-61,-1258,3
-3041,-1580,9235,-309,-61,-1258,3
-3193,-1458,9231,-216,-18,-1165,3
-3279,-1295,9266,-149,-9,-1122,3
-3412,-1098,9507,-128,-14,-1111,3
-3611,-836,9363,-142,-10,-1138,3
-3597,-632,9383,-189,-25,-1216,3
-3431,-798,9531,-229,-7,-1303,3
-3421,-1150,9335,-255,30,-1359,3
-2998,-1846,8973,-267,43,-1351,3
-2998,-1846,8973,-243,37,-1225,3
-2669,-2671,9038,-243,37,-1225,3
-2776,-2873,9158,-188,49,-1019,3
-3025,-2803,9245,-111,78,-808,3
-3005,-2236,9353,-61,85,-635,3
-3241,-1538,9521,-69,65,-522,3
-3408,-1268,9652,-86,64,-493,3
-3406,-1225,9656,-74,100,-514,3
-3309,-1479,9504,-51,142,-526,3
-3284,-1768,9318,-20,150,-501,3
-3284,-1768,9303,7,142,-447,3
-3164,-2014,9303,7,142,-447,3
-2968,-2340,9230,17,158,-351,3
-3007,-2427,9254,9,172,-210,3
-3242,-2468,9061,-12,167,-70,3
-3346,-1887,9542,-30,160,229,3
-3346,-1887,9542,-30,160,229,3
-3462,-1429,9497,-47,208,255,3
-3565,-1252,9354,-80,224,240,3
-3600,-1015,9268,-122,215,213,3
-3649,-1596,9140,22,35,-242,3
-3713,-1168,9298,19,29,-231,3
-3948,-626,9248,-15,18,-270,3
-3987,-619,9203,-46,12,-370,3
-3987,-619,9203,-56,18,-466,3
-3915,-790,9249,-56,18,-466,3
-3885,-1178,9089,-50,36,-528,3
-3905,-1526,9025,-29,31,-559,3
-3680,-1860,9163,-30,9,-560,3
-3546,-2222,9259,-45,-8,-522,3
-3538,-2409,9198,-67,-25,-465,3
-3420,-2673,9323,-63,-44,-400,3
-3330,-2896,9393,0,-17,-318,3
-3255,-3002,9336,47,21,-225,3
-3255,-3002,9113,57,15,-122,3
-3103,-3327,9113,57,15,-122,3
-2891,-3596,9054,19,-45,24,3
