aX,aY,aZ,gX,gY,gZ,target
-5267,4127,10200,257,348,-1596,2
-5194,4354,10292,235,420,-2139,2
-4908,3320,10207,246,552,-2689,2
-4908,3320,10207,246,552,-2689,2
-4435,1817,9527,324,711,-3141,2
-3485,174,9292,431,826,-3425,2
-2991,-732,8785,491,876,-3472,2
-3383,-321,8158,459,783,-3416,2
-3695,434,8056,324,563,-3401,2
-3662,1243,8672,172,328,-3505,2
-3341,812,9329,17,218,-3668,2
-2884,-229,9486,-116,260,-3800,2
-2456,-1493,9129,-200,360,-3836,2
-2456,-1493,9129,-200,360,-3836,2
-2243,-3300,8565,-219,426,-3728,2
-2147,-4807,8060,-144,430,-3463,2
-2127,-4809,8250,-26,367,-3097,2
-2718,-3371,8614,7,272,-2774,2
-2140,-4254,8863,32,73,-2645,2
-1698,-5564,9028,158,130,-2459,2
-1698,-5564,9028,158,191,-2138,2
-1457,-6294,9174,248,191,-2138,2
-1557,-6259,9144,262,215,-1735,2
-1938,-5298,9006,209,165,-1375,2
-2204,-4607,8861,114,78,-1139,2
-2277,-4280,8866,58,14,-1010,2
-2238,-4365,8991,32,2,-934,2
-2036,-4947,9107,28,37,-842,2
-2030,-5334,9007,25,76,-709,2
-2195,-5330,8571,28,60,-555,2
-2195,-5330,8571,25,-3,-400,2
-2166,-5426,8624,25,-3,-400,2
-2091,-5337,8743,26,-46,-237,2
-2196,-5227,8922,21,-49,-83,2
-2110,-5355,8945,-3,-21,67,2
-2196,-5277,8764,-44,4,218,2
-2317,-4936,8475,-73,-14,356,2
-2611,-4280,8271,-85,-79,435,2
-2673,-4156,8392,-86,-148,452,2
-2562,-4292,8535,-73,-172,467,2
-2562,-4292,8524,-64,-160,519,2
-2548,-4498,8524,-64,-160,519,2
-2526,-4652,8484,-57,-149,604,2
-2468,-4883,8583,-64,-147,724,2
-2475,-4888,8468,-93,-153,886,2
-2707,-4618,8327,-136,-193,1037,2
-2840,-4259,8283,-167,-280,1144,2
-2848,-3881,8461,-195,-378,1205,2
-2782,-3677,8634,-235,-453,1240,2
-2640,-3686,8866,-267,-498,1280,2
-2636,-3595,9087,-282,-492,1334,2
-2636,-3595,9087,-282,-492,1334,2
-2657,-3817,9192,-301,-456,1392,2
-2371,-3677,9656,-293,-378,1467,2
-2580,-3552,9749,-293,-252,1566,2
-2670,-3450,9538,-286,-112,1661,2
-3043,-3159,9516,-267,0,1710,2
-3177,-3080,9262,-262,64,1717,2
-3018,-3250,9086,-270,69,1727,2
-3263,-3442,8726,-260,48,1786,2
-3341,-3404,8551,-205,8,1860,2
-3341,-3404,8551,-205,8,1860,2
-3255,-3189,8579,-155,-58,1910,2
-3427,-2967,8615,-144,-129,1967,2
-3559,-2665,8601,-164,-204,2006,2
-3482,-2438,8734,-194,-270,2015,2
-3559,-2160,8877,-220,-302,2010,2
-3665,-1735,9072,-251,-323,1978,2
-3793,-1373,9160,-285,-345,1902,2
-3958,-1194,9229,-295,-346,1791,2
-4046,-1182,9255,-265,-321,1653,2
-4046,-1182,9255,-265,-321,1653,2
-3992,-1202,9238,-188,-260,1519,2
-4064,-1406,9023,-90,-171,1412,2
-4116,-1639,8780,24,-108,1334,2
-4028,-1854,8585,124,-83,1293,2
-4027,-1957,8415,205,-100,1284,2
-4018,-1868,8477,260,-137,1300,2
-4027,-1514,8853,279,-164,1306,2
-4042,-1095,9117,256,-163,1282,2
-4133,-666,9336,201,-146,1226,2
-4133,-666,9336,201,-146,1226,2
-4362,-235,9451,119,-121,1120,2
-4505,-120,9372,15,-107,970,2
-4436,-398,9133,-75,-116,820,2
-4332,-768,8841,-131,-127,705,2
-4307,-1253,8614,-139,-140,642,2
-4211,-1591,8428,-114,-158,628,2
-4052,-1830,8347,-62,-175,649,2
-3992,-2067,8216,-4,-203,703,2
-3829,-2145,8307,44,-250,783,2
-3829,-2145,8307,44,-250,783,2
-3817,-1904,8629,81,-298,866,2
-3862,-1366,9098,80,-329,913,2
-4021,-708,9725,43,-332,896,2
-4266,-208,10004,-26,-293,796,2
-4400,-108,9992,-92,-232,643,2
-4325,-343,9718,-127,-153,483,2
-4256,-782,9340,-127,-91,357,2
-4143,-1186,9011,-98,-65,288,2
-4042,-1441,8994,-53,-70,277,2
-4042,-1441,8994,-53,-70,306,2
-3980,-1518,8983,-18,-76,306,2
-3926,-1581,8903,12,-78,354,2
-3942,-949,9133,67,-62,60,2
-3954,-912,9227,78,-67,75,2
-4005,-799,9316,83,-71,88,2
-3982,-711,9323,94,-60,102,2
-3982,-711,9323,94,-60,102,2
-4063,-451,9357,116,-42,111,2
-4247,-161,9358,147,-31,105,2
-4351,104,9421,170,-28,66,2
-4331,220,9460,169,-20,6,2
-4406,374,9602,154,-6,-67,2
-4447,549,9616,127,8,-152,2
-4435,787,9716,92,31,-264,2
-4488,985,9614,53,58,-390,2
-4736,1250,9397,64,95,-564,2
-4736,1250,9397,64,95,-564,2
-4727,1415,9194,108,135,-783,2
-4689,1782,9388,174,158,-1023,2
-4956,2748,9560,240,176,-1313,2
-5142,3262,9448,257,180,-1687,2
-4840,3221,9638,217,188,-2097,2
-4636,2499,9796,153,254,-2479,2
-4618,1741,9452,110,354,-2822,2
-4116,1167,9401,83,430,-3105,2
-3738,557,9145,55,468,-3300,2
-3738,557,9145,55,468,-3300,2
-3342,-279,8696,36,471,-3391,2
-3187,-642,8653,94,444,-3431,2
-3016,-394,9139,178,411,-3444,2
-2975,-47,9692,169,413,-3462,2
-3127,-150,9542,80,448,-3510,2
-3171,-494,9303,8,447,-3611,2
-2738,-1889,9064,-20,441,-3681,2
-2507,-2456,8714,33,439,-3640,2
-2705,-2041,8581,112,384,-3580,2
-2705,-2041,8581,144,313,-3561,2
-2474,-2344,8941,144,313,-3561,2
-1992,-3209,9414,133,293,-3497,2
-1846,-4342,9477,119,379,-3340,2
-1871,-5504,8920,164,488,-3119,2
-1643,-6025,8801,269,528,-2844,2
-1893,-5361,8604,315,463,-2536,2
-1875,-4693,8864,255,309,-2268,2
-1854,-4651,8971,135,181,-2066,2
-1610,-5338,8957,80,154,-1887,2
-1610,-5338,8957,80,154,-1887,2
-1495,-6021,8843,136,222,-1678,2
-1405,-6113,8742,243,300,-1428,2
-1420,-5894,8761,290,324,-1166,2
-1523,-5679,8723,227,288,-918,2
-1567,-5808,8663,122,224,-693,2
-1512,-5973,8451,29,177,-464,2
-1783,-5880,8044,-9,122,-244,2
-1926,-5702,7960,-6,40,-72,2
-1968,-5359,8087,-22,-57,65,2
-1968,-5359,8087,-22,-57,65,2
-2070,-5024,8104,-70,-156,174,2
-2239,-4791,8067,-116,-246,246,2
-2137,-4803,8182,-116,-313,298,2
-2067,-4847,8306,-92,-321,362,2
-2238,-4716,8401,-64,-300,437,2
-2225,-4549,8579,-52,-285,509,2
-2410,-4253,8586,-50,-273,572,2
-2583,-3779,8714,-48,-273,604,2
-2697,-3505,8912,-69,-278,598,2
-2697,-3505,8912,-69,-267,582,2
-2723,-3866,8935,-101,-267,582,2
-2584,-4429,8922,-100,-228,609,2
-2475,-5076,8793,-86,-193,711,2
-2301,-5613,8513,-97,-189,893,2
-2203,-6020,8262,-137,-239,1138,2
-2051,-6281,8045,-187,-335,1428,2
-1974,-6271,7960,-236,-484,1732,2
-1551,-5795,8371,-273,-624,2030,2
-1696,-4716,9080,-335,-713,2284,2
-1804,-4065,9486,-451,-751,2445,2
-1804,-4065,9486,-451,-751,2445,2
-1826,-3741,9775,-536,-725,2535,2
-2027,-3479,9893,-549,-640,2591,2
-2151,-2987,10046,-507,-533,2613,2
-2495,-2370,9969,-467,-433,2599,2
-2623,-2126,9792,-420,-365,2552,2
-3169,-2321,9416,-329,-291,2493,2
-3244,-2496,9402,-213,-237,2422,2
-3141,-2828,9198,-123,-179,2387,2
-3141,-2828,9198,-48,-142,2409,2
-3126,-3005,9029,-48,-142,2409,2
-3188,-2749,8979,24,-139,2463,2
-3205,-2189,9308,86,-145,2516,2
-3604,-853,9683,109,-142,2488,2
-4006,259,9934,28,-124,2339,2
-4232,715,9875,-91,-83,2103,2
-4607,528,9555,-150,-32,1810,2
-4537,-92,9148,-136,15,1530,2
-4505,-778,8719,-49,47,1328,2
-4339,-1350,8437,67,61,1212,2
-4339,-1350,8437,67,61,1212,2
-4158,-1802,8220,176,51,1182,2
-4151,-1977,8037,250,-4,1207,2
-4003,-1855,8197,288,-92,1254,2
-4015,-1372,8650,284,-166,1287,2
-4125,-850,9001,224,-197,1274,2
-4168,-449,9199,136,-188,1204,2
-4235,-436,9285,39,-158,1100,2
-4228,-471,9165,-41,-134,1004,2
-3961,-722,9098,28,-17,32,2
-3981,-734,9096,29,-23,26,2
-3981,-734,9096,31,-28,18,2
-3951,-771,9046,31,-28,18,2
-3929,-837,9077,40,-28,17,2
-3945,-808,9125,52,-29,27,2
-3978,-631,9201,64,-28,39,2
-4091,-175,9266,75,-23,34,2
-4234,129,9347,79,-19,1,2
-4322,434,9493,87,-4,-67,2
-4380,563,9535,100,27,-156,2
-4465,492,9493,112,54,-262,2
-4465,492,9493,124,84,-357,2
-4350,233,9493,124,84,-357,2
-4274,352,9479,139,112,-438,2
-4433,1441,9879,155,128,-548,2
-5058,2675,10254,143,183,-788,2
-5082,3480,10238,131,306,-1161,2
-5004,4192,10363,109,437,-1613,2
-5170,4857,10346,58,536,-2106,2
-5641,4376,9450,-62,557,-2648,2
-5239,3071,8890,-114,533,-3225,2
-4161,1324,8702,-144,499,-3662,2
-4161,1324,8702,-144,499,-3662,2
-3278,-833,8151,-174,458,-3808,2
-3072,-1274,8000,-64,426,-3743,2
-3128,-579,8323,86,378,-3646,2
-3315,13,8883,185,372,-3629,2
-3395,943,9572,196,417,-3753,2
-3294,1343,10024,69,469,-3985,2
-2873,-551,9443,-109,515,-4208,2
-2062,-3217,8967,-145,566,-4243,2
-1475,-4896,8713,-18,627,-4013,2
-1475,-4896,8713,-18,627,-4013,2
-1600,-5839,8322,152,651,-3621,2
-1898,-5684,8157,277,580,-3163,2
-2177,-5015,8532,297,428,-2786,2
-2434,-3687,8857,224,266,-2549,2
-2496,-2980,8921,106,145,-2486,2
-2244,-3878,8699,58,113,-2499,2
-1642,-5280,8772,164,158,-2450,2
-1266,-6387,8901,307,238,-2247,2
-1351,-6404,8810,389,286,-1940,2
-1351,-6404,8810,389,286,-1940,2
-1548,-6076,8595,365,232,-1637,2
-1713,-5557,8437,292,113,-1386,2
-1710,-5143,8561,230,-4,-1193,2
-1635,-5204,8815,187,-43,-1034,2
-1616,-5266,8892,178,-4,-893,2
-1623,-5511,8863,178,67,-758,2
-1606,-5964,8584,162,96,-605,2
-1488,-6510,8386,130,66,-412,2
-1526,-6667,8189,109,15,-186,2
-1526,-6667,8189,109,15,-186,2
-1476,-6151,8062,90,-51,45,2
-1660,-5454,8023,43,-128,232,2
-1850,-4794,8171,7,-202,338,2
-2047,-4265,8279,-43,-256,364,2
-1958,-4325,8395,-76,-295,356,2
-2037,-4689,8469,-74,-302,379,2
-2080,-5175,8482,-54,-301,434,2
-1975,-5641,8547,-35,-304,541,2
-1953,-5903,8440,-28,-301,698,2
-1953,-5903,8440,-28,-301,698,2
